ma_khoa,name,description
KHOA001,Nội tổng quát,Chuyên điều trị các bệnh lý nội khoa tổng quát.
KHOA002,Nội tim mạch,Chuyên khám và điều trị các bệnh lý về tim mạch.
KHOA003,Nội tiết,Chuyên điều trị các bệnh liên quan đến nội tiết tố.
KHOA004,Tiêu hóa,Chuyên điều trị các bệnh lý về hệ tiêu hóa.
KHOA005,Thần kinh,Chuyên điều trị các bệnh lý về hệ thần kinh.
KHOA006,Hô hấp,Chuyên điều trị các bệnh lý về hệ hô hấp.
KHOA007,Chấn thương chỉnh hình,Chuyên điều trị các vấn đề về xương khớp và phục hồi chức năng.
KHOA008,Da liễu,Chuyên điều trị các bệnh về da.
KHOA009,Nhi khoa,Chăm sóc và điều trị các bệnh lý cho trẻ em.
KHOA010,Sản phụ khoa,Chuyên khám và điều trị các vấn đề về sản phụ khoa.